;;;;;;;;;;;;;;
;YATES Simon;JAY;870;;;;;;;;;;;
;MEZGEC Luka;JAY;278;;;;;;;;;;;
;HARPER Chris;JAY;200;;;;;;;;;;;
;DURBRIDGE Luke;JAY;128;;;;;;;;;;;
;CRADDOCK Lawson;JAY;73;;;;;;;;;;;
;JUUL JENSEN Christopher;JAY;45;;;;;;;;;;;
;REINDERS Elmar;JAY;41;2608;;;;;;;;;;
;EWAN Caleb;LTD;752;;;;;;;;;;;
;VAN GILS Maxim;LTD;514;;;;;;;;;;;
;VERMEERSCH Florian;LTD;496;;;;;;;;;;;
;DE BUYST Jasper;LTD;414;;;;;;;;;;;
;CAMPENAERTS Victor;LTD;273;;;;;;;;;;;
;EENKHOORN Pascal;LTD;247;;;;;;;;;;;
;FRISON Frederik;LTD;243;;;;;;;;;;;
;GUARNIERI Jacopo;LTD;20;2959;;;;;;;;;;
;MAS NICOLAU Enric;MOV;1307;;;;;;;;;;;
;JORGENSON Matteo;MOV;884;;;;;;;;;;;
;ARANBURU DEBA Alexander;MOV;593;;;;;;;;;;;
;GUERREIRO Ruben Antonio Almeida;MOV;559;;;;;;;;;;;
;IZAGIRRE INSAUSTI Gorka;MOV;224;;;;;;;;;;;
;PEDRERO LOPEZ Antonio;MOV;222;;;;;;;;;;;
;MÜHLBERGER Gregor;MOV;178;;;;;;;;;;;
;OLIVEIRA Nelson Filipe Santos Simoes;MOV;163;4130;;;;;;;;;;
;JAKOBSEN Fabio;SOQ;748;;;;;;;;;;;
;LAMPAERT Yves;SOQ;582;;;;;;;;;;;
;CAVAGNA Rémi;SOQ;507;;;;;;;;;;;
;ALAPHILIPPE Julian;SOQ;500;;;;;;;;;;;
;ASGREEN Kasper;SOQ;291;;;;;;;;GIRMAY HAILU Biniam;IWA;768;
;DECLERCQ Tim;SOQ;77;;;;;;;;THIJSSEN Gerben;IWA;620;
;MØRKØV CHRISTENSEN Michael;SOQ;68;;;;;;;;TEUNISSEN Mike;IWA;507;
;DEVENYNS Dries;SOQ;45;2818;;;;;;;ZIMMERMANN Georg;IWA;469;
;LANDA MEANA Mikel;TBV;1021;;;;;;;;REX Laurenz;IWA;309;
;BILBAO LOPEZ DE ARMENTIA Pello;TBV;951;;;;;;;;PAGE Hugo;IWA;262;
;MOHORIC Matej;TBV;793;;;;;;;;MEINTJES Louis;IWA;142;
;WRIGHT Fred;TBV;545;;;;;;;;GOOSSENS Kobe;IWA;68;3145
;HAIG Jack;TBV;409;;;;;;;;;;;
;BAUHAUS Phil;TBV;321;;;;;;;;;;;
;ARNDT Nikias;TBV;210;;;;;;;;;;;
;POELS Wout;TBV;191;4441;;;;;;;;;;
;;;;;;;;;;;;;;
;LATOUR Pierre;TEN;430;;;;;;;;;;;
;SAGAN Peter;TEN;378;;;;;;;;;;;
;FERRON Valentin;TEN;369;;;;;;;;;;;
;BOASSON HAGEN Edvald;TEN;310;;;;;;;;;;;
;TURGIS Anthony;TEN;274;;;;;;;;;;;
;BURGAUDEAU Mathieu;TEN;259;;;;;;;;;;;
;CRAS Steff;TEN;129;;;;;;;;;;;
;OSS Daniel;TEN;35;2184;;;;;;;;;;
;SKJELMOSE JENSEN Mattias;TFS;1877;;;;;;;;;;;
;PEDERSEN Mads;TFS;1540;;;;;;;;;;;
;CICCONE Giulio;TFS;926;;;;;;;;;;;
;STUYVEN Jasper;TFS;424;;;;;;;;;;;
;SIMMONS Quinn;TFS;277;;;;;;;;;;;
;GALLOPIN Tony;TFS;207;;;;;;;;;;;
;KIRSCH Alex;TFS;158;;;;;;;;;;;
;LOPEZ PEREZ Juan Pedro;TFS;60;5469;;;;;;;;;;
;VINGEGAARD RASMUSSEN Jonas;TJV;2689;;;;;;;;;;;
;VAN AERT Wout;TJV;2449;;;;;;;;;;;
;LAPORTE Christophe;TJV;1576;;;;;;;;;;;
;BENOOT Tiesj;TJV;718;;;;;;;;;;;
;VAN BAARLE Dylan;TJV;428;;;;;;;;;;;
;KELDERMAN Wilco;TJV;385;;;;;;;;;;;
;KUSS Sepp;TJV;341;;;;;;;;;;;
;VAN HOOYDONCK Nathan;TJV;301;8887;;;;;;;;;;
;POGACAR Tadej;UAD;3902;;;;;;;;;;;
;YATES Adam;UAD;1533;;;;;;;;;;;
;TRENTIN Matteo;UAD;842;;;;;;;;;;;
;SOLER GIMENEZ Marc;UAD;435;;;;;;;;;;;
;BJERG Mikkel;UAD;425;;;;;;;;;;;
;MAJKA Rafal;UAD;214;;;;;;;;;;;
;GROSSSCHARTNER Felix;UAD;207;;;;;;;;;;;
;LAENGEN Vegard Stake;UAD;50;7608;;;;;;;;;;
;KRISTOFF Alexander;UXT;958;;;;;;;;;;;
;TILLER Rasmus Fossum;UXT;464;;;;;;;;;;;
;WAERENSKJOLD Søren;UXT;421;;;;;;;;;;;
;TRAEEN Torstein;UXT;371;;;;;;;;;;;
;CHARMIG Anthon;UXT;279;;;;;;;;;;;
;GREGAARD WILSLY Jonas;UXT;168;;;;;;;;;;;
;JOHANNESSEN Tobias Halland;UXT;159;;;;;;;;;;;
;ABRAHAMSEN Jonas;UXT;78;2898;;;;;;;;;;
