MAS NICOLAU Enric;MOV;1397;q;;;;;;;;;;;;;;;;;;;;;;
O'CONNOR Ben;JAY;1333;q;;;;;;;;;;;;;;;;;;;;;;
CARAPAZ MONTENEGRO Richard Antonio;EFE;1276;q;;;;;;;;;;;;;;;;;;;;;;
ONLEY Oscar;TPP;1273;q;;;;;;;;;;;;;;;;;;;;;;
GANNA Filippo;IGD;1272;q;;;;;;;;;;;;;;;;;;;;;;
POWLESS Neilson;EFE;1225;q;;;;;;;;;;;;;;;;;;;;;;
VAUQUELIN Kévin;ARK;1191;q;;;;;;;;;;;;;;;;;;;;;;
MERLIER Tim;SOQ;1188;q;;;;;;;;;;;;;;;;;;;;;;
CORT NIELSEN Magnus;UXM;1182;q;;;;;;;;;;;;;;;;;;;;;;
JORGENSON Matteo;TVL;1155;q;;;;;;;;;;;;;;;;;;;;;;
DE LIE Arnaud;LOT;1084;q;;;;;;;;;;;;;;;;;;;;;;
GREGOIRE Romain;GFC;1045;q;;;;;;;;;;;;;;;;;;;;;;
LIPOWITZ Florian;RBH;1006;q;;;;;;;;;;;;;;;;;;;;;;
YATES Simon;TVL;1004;q;;;;;;;;;;;;;;;;;;;;;;
MILAN Jonathan;LTK;1003;q;;;;;;;;;;;;;;;;;;;;;;
SKJELMOSE JENSEN Mattias;LTK;948;q;;;;;;;;;;;;;;;;;;;;;;
ARANBURU DEVA Alexander;COF;925;q;;;;;;;;;;;;;;;;;;;;;;
CHAMPOUSSIN Clément;XAT;921;q;;;;;;;;;;;;;;;;;;;;;;
VAN EETVELT Lennert;LOT;912;q;;;;;;;;;;;;;;;;;;;;;;
YATES Adam;UAD;889;q;;;;;;;;;;;;;;;;;;;;;;
WELLENS Tim;UAD;843;q;;;;;;;;;;;;;;;;;;;;;;
SCHMID Mauro;JAY;833;q;;;;;;;;;;;;;;;;;;;;;;
MEEUS Jordi;RBH;818;q;;;;;;;;;;;;;;;;;;;;;;
LUND ANDRESEN Tobias;TPP;809;q;;;;;;;;;;;;;;;;;;;;;;
HEALY Ben;EFE;796;q;;;;;;;;;;;;;;;;;;;;;;
MARTINEZ Lenny;TBV;779;q;;;;;;;;;;;;;;;;;;;;;;
MARTIN GUYONNET Guillaume;GFC;744;q;;;;;;;;;;;;;;;;;;;;;;
SIVAKOV Pavel;UAD;742;q;;;;;;;;;;;;;;;;;;;;;;
BUITRAGO SANCHEZ Santiago;TBV;741;q;;;;;;;;;;;;;;;;;;;;;;
ALAPHILIPPE Julian;TUD;738;q;;;;;;;;;;;;;;;;;;;;;;
GROVES Kaden;ADC;729;q;;;;;;;;;;;;;;;;;;;;;;
RODRIGUEZ CANO Carlos;IGD;696;q;;;;;;;;;;;;;;;;;;;;;;
MADOUAS Valentin;GFC;672;q;;;;;;;;;;;;;;;;;;;;;;
NYS Thibau;LTK;669;q;;;;;;;;;;;;;;;;;;;;;;
ROMO OLIVER Javier;MOV;656;q;;;;;;;;;;;;;;;;;;;;;;
CASTRILLO ZAPATER Pablo;MOV;633;q;;;;;;;;;;;;;;;;;;;;;;
BERCKMOES Jenno;LOT;629;q;;;;;;;;;;;;;;;;;;;;;;
NARVAEZ PRADO Jhonatan Manuel;UAD;627;q;;;;;;;;;;;;;;;;;;;;;;
TRENTIN Matteo;TUD;626;q;;;;;;;;;;;;;;;;;;;;;;
JOHANNESSEN Tobias Halland;UXM;625;q;;;;;;;;;;;;;;;;;;;;;;
WAERENSKJOLD Søren;UXM;623;q;;;;;;;;;;;;;;;;;;;;;;
VELASCO Simone;XAT;620;q;;;;;;;;;;;;;;;;;;;;;;
BENOOT Tiesj;TVL;618;q;;;;;;;;;;;;;;;;;;;;;;
GROENEWEGEN Dylan;JAY;609;q;;;;;;;;;;;;;;;;;;;;;;
SCHACHMANN Maximilian;SOQ;609;q;;;;;;;;;;;;;;;;;;;;;;
MOHORIC Matej;TBV;580;q;;;;;;;;;;;;;;;;;;;;;;
VAN WILDER Ilan;SOQ;564;q;;;;;;;;;;;;;;;;;;;;;;
GALL Felix;DAT;543;q;;;;;;;;;;;;;;;;;;;;;;
SEGAERT Alec;LOT;533;q;;;;;;;;;;;;;;;;;;;;;;
ARENSMAN Thymen;IGD;529;q;;;;;;;;;;;;;;;;;;;;;;
WOODS Michael;IPT;502;q;;;;;;;;;;;;;;;;;;;;;;
WRIGHT Fred;TBV;501;q;;;;;;;;;;;;;;;;;;;;;;
SOLER Marc;UAD;500;q;;;;;;;;;;;;;;;;;;;;;;
BLACKMORE Joseph;IPT;480;q;;;;;;;;;;;;;;;;;;;;;;
HOELGAARD Markus;UXM;463;q;;;;;;;;;;;;;;;;;;;;;;
VAN POPPEL Danny;RBH;457;q;;;;;;;;;;;;;;;;;;;;;;
BARRE Louis;IWA;447;q;;;;;;;;;;;;;;;;;;;;;;
BURGAUDEAU Mathieu;TEN;433;q;;;;;;;;;;;;;;;;;;;;;;
REX Laurenz;IWA;422;q;;;;;;;;;;;;;;;;;;;;;;
ROMEO ABAD Ivan;MOV;402;q;;;;;;;;;;;;;;;;;;;;;;
LEKNESSUND Andreas;UXM;397;q;;;;;;;;;;;;;;;;;;;;;;
ZIMMERMANN Georg;IWA;395;q;;;;;;;;;;;;;;;;;;;;;;
RUBIO REYES Einer Augusto;MOV;392;q;;;;;;;;;;;;;;;;;;;;;;
DUNBAR Edward;JAY;391;q;;;;;;;;;;;;;;;;;;;;;;
AFFINI Edoardo;TVL;385;q;;;;;;;;;;;;;;;;;;;;;;
DE PLUS Laurens;IGD;364;q;;;;;;;;;;;;;;;;;;;;;;
KUSS Sepp;TVL;364;q;;;;;;;;;;;;;;;;;;;;;;
ACKERMANN Pascal;IPT;352;q;;;;;;;;;;;;;;;;;;;;;;
BAUHAUS Phil;TBV;352;q;;;;;;;;;;;;;;;;;;;;;;
STUYVEN Jasper;LTK;351;q;;;;;;;;;;;;;;;;;;;;;;
TEJADA CANACUE Harold Alfonso;XAT;351;q;;;;;;;;;;;;;;;;;;;;;;
IZAGIRRE INSAUSTI Ion;COF;338;q;;;;;;;;;;;;;;;;;;;;;;
VAN DEN BROEK Frank;TPP;321;q;;;;;;;;;;;;;;;;;;;;;;
CATTANEO Mattia;SOQ;309;q;;;;;;;;;;;;;;;;;;;;;;
JOHANNESSEN Anders Halland;UXM;308;q;;;;;;;;;;;;;;;;;;;;;;
PITHIE Laurence;RBH;306;q;;;;;;;;;;;;;;;;;;;;;;
FOSS Tobias Svendsen;IGD;300;q;;;;;;;;;;;;;;;;;;;;;;
STEWART Jake;IPT;292;q;;;;;;;;;;;;;;;;;;;;;;
EDVARDSEN-FREDHEIM Stian;UXM;285;q;;;;;;;;;;;;;;;;;;;;;;
BERNARD Julien;LTK;282;q;;;;;;;;;;;;;;;;;;;;;;
HIGUITA GARCIA Sergio Andres;XAT;279;q;;;;;;;;;;;;;;;;;;;;;;
VLASOV Aleksandr;RBH;269;q;;;;;;;;;;;;;;;;;;;;;;
CAMPENAERTS Victor;TVL;257;q;;;;;;;;;;;;;;;;;;;;;;
PACHER Quentin;GFC;256;q;;;;;;;;;;;;;;;;;;;;;;
THOMAS Benjamin;COF;244;q;;;;;;;;;;;;;;;;;;;;;;
PAGE Hugo;IWA;236;q;;;;;;;;;;;;;;;;;;;;;;
ABRAHAMSEN Jonas;UXM;234;q;;;;;;;;;;;;;;;;;;;;;;
THEUNS Edward;LTK;228;q;;;;;;;;;;;;;;;;;;;;;;
VAN MOER Brent;LOT;226;q;;;;;;;;;;;;;;;;;;;;;;
PARET PEINTRE Valentin;SOQ;224;q;;;;;;;;;;;;;;;;;;;;;;
HAIG Jack;TBV;210;q;;;;;;;;;;;;;;;;;;;;;;
RUTSCH Jonas;IWA;202;q;;;;;;;;;;;;;;;;;;;;;;
LUTSENKO Alexey;IPT;201;q;;;;;;;;;;;;;;;;;;;;;;
OLIVEIRA Nelson Filipe Santos Simoes;MOV;196;q;;;;;;;;;;;;;;;;;;;;;;
VAN DIJKE Mick;RBH;182;q;;;;;;;;;;;;;;;;;;;;;;
BRAET Vito;IWA;181;q;;;;;;;;;;;;;;;;;;;;;;
KWIATKOWSKI Michal;IGD;179;q;;;;;;;;;;;;;;;;;;;;;;
PEDERSEN Casper;SOQ;171;q;;;;;;;;;;;;;;;;;;;;;;
LOUVEL Matîs;IPT;165;q;;;;;;;;;;;;;;;;;;;;;;
GAVIRIA RENDON Fernando;MOV;151;q;;;;;;;;;;;;;;;;;;;;;;
POLITT Nils;UAD;151;q;;;;;;;;;;;;;;;;;;;;;;
BUCHMANN Emanuel;COF;139;q;;;;;;;;;;;;;;;;;;;;;;
SWEENY Harrison;EFE;123;q;;;;;;;;;;;;;;;;;;;;;;
SEPULVEDA Eduardo;LOT;116;q;;;;;;;;;;;;;;;;;;;;;;
VAN SINTMAARTENSDIJK Roel;IWA;115;q;;;;;;;;;;;;;;;;;;;;;;
EENKHOORN Pascal;SOQ;114;q;;;;;;;;;;;;;;;;;;;;;;
REINDERS Elmar;JAY;92;q;;;;;;;;;;;;;;;;;;;;;;
STANNARD Robert;TBV;91;q;;;;;;;;;;;;;;;;;;;;;;
NEILANDS Krists;IPT;89;q;;;;;;;;;;;;;;;;;;;;;;
GRADEK Kamil;TBV;68;q;;;;;;;;;;;;;;;;;;;;;;
JUUL JENSEN Christopher;JAY;60;q;;;;;;;;;;;;;;;;;;;;;;
THOMAS Geraint;IGD;57;q;;;;;;;;;;;;;;;;;;;;;;
MOSCON Gianni;RBH;55;q;;;;;;;;;;;;;;;;;;;;;;
MEZGEC Luka;JAY;50;q;;;;;;;;;;;;;;;;;;;;;;
CONSONNI Simone;LTK;49;q;;;;;;;;;;;;;;;;;;;;;;
DE BUYST Jasper;LOT;44;q;;;;;;;;;;;;;;;;;;;;;;
BOIVIN Guillaume;IPT;35;q;;;;;;;;;;;;;;;;;;;;;;
DRIZNERS Jarrad;LOT;35;q;;;;;;;;;;;;;;;;;;;;;;
RIESEBEEK Oscar;ADC;35;q;;;;;;;;;;;;;;;;;;;;;;
VAN LERBERGHE Bert;SOQ;30;q;;;;;;;;;;;;;;;;;;;;;;
CARR Simon;COF;5;q;;;;;;;;;;;;;;;;;;;;;;
BAYER Tobias;ADC;56;;;;;;;;;;;;;;;;;;;;;;;
BOVEN Lars;ADC;10;;;;;;;;;;;;;;;;;;;;;;;
DEBRUYNE Ramses;ADC;44;;;;;;;;;;;;;;;;;;;;;;;
DEHAIRS Simon;ADC;235;;;;;;;;;;;;;;;;;;;;;;;
DEL GROSSO Tibor;ADC;451;;;;;;;;;;;;;;;;;;;;;;;
DILLIER Silvan;ADC;85;;;;;;;;;;;;;;;;;;;;;;;
GAZE Samuel;ADC;15;;;;;;;;;;;;;;;;;;;;;;;
GHYS Robbe;ADC;75;;;;;;;;;;;;;;;;;;;;;;;
GLIVAR Gal;ADC;191;;;;;;;;;;;;;;;;;;;;;;;
GOGL Michael;ADC;89;;;;;;;;;;;;;;;;;;;;;;;
HERMANS Quinten;ADC;293;;;;;;;;;;;;;;;;;;;;;;;
HOLLMANN Juri;ADC;58;;;;;;;;;;;;;;;;;;;;;;;
JANSSENS Jimmy;ADC;69;;;;;;;;;;;;;;;;;;;;;;;
KIELICH Timo;ADC;218;;;;;;;;;;;;;;;;;;;;;;;
MEURISSE Xandro;ADC;393;;;;;;;;;;;;;;;;;;;;;;;
PLANCKAERT Edward;ADC;87;;;;;;;;;;;;;;;;;;;;;;;
PLOWRIGHT Jensen;ADC;204;;;;;;;;;;;;;;;;;;;;;;;
PRICE-PEJTERSEN Johan;ADC;144;;;;;;;;;;;;;;;;;;;;;;;
RICKAERT Jonas;ADC;41;;;;;;;;;;;;;;;;;;;;;;;
UHLIG Henri;ADC;160;;;;;;;;;;;;;;;;;;;;;;;
VAN DEN BOSSCHE Fabio;ADC;110;;;;;;;;;;;;;;;;;;;;;;;
VAN TRICHT Stan;ADC;177;;;;;;;;;;;;;;;;;;;;;;;
VERGALLITO Luca;ADC;102;;;;;;;;;;;;;;;;;;;;;;;
VERMEERSCH Gianni;ADC;318;;;;;;;;;;;;;;;;;;;;;;;
VERSTRYNGE Emiel;ADC;73;;;;;;;;;;;;;;;;;;;;;;;
BIERMANS Jenthe;ARK;360;;;;;;;;;;;;;;;;;;;;;;;
CAPIOT Amaury;ARK;151;;;;;;;;;;;;;;;;;;;;;;;
COSTIOU Ewen;ARK;213;;;;;;;;;;;;;;;;;;;;;;;
DELAPLACE Anthony;ARK;109;;;;;;;;;;;;;;;;;;;;;;;
DEMARE Arnaud;ARK;515;;;;;;;;;;;;;;;;;;;;;;;
EPIS Giosué;ARK;50;;;;;;;;;;;;;;;;;;;;;;;
GARCIA PIERNA Raul;ARK;323;;;;;;;;;;;;;;;;;;;;;;;
GESBERT Elie;ARK;21;;;;;;;;;;;;;;;;;;;;;;;
GRONDIN Donavan;ARK;15;;;;;;;;;;;;;;;;;;;;;;;
GUERNALEC Thibault;ARK;198;;;;;;;;;;;;;;;;;;;;;;;
GUERNALEC Victor;ARK;88;;;;;;;;;;;;;;;;;;;;;;;
GUGLIELMI Simon;ARK;97;;;;;;;;;;;;;;;;;;;;;;;
HUYS Laurens;ARK;55;;;;;;;;;;;;;;;;;;;;;;;
LE BERRE Mathis;ARK;84;;;;;;;;;;;;;;;;;;;;;;;
LOZOUET Léandre;ARK;36;;;;;;;;;;;;;;;;;;;;;;;
MOZZATO Luca;ARK;171;;;;;;;;;;;;;;;;;;;;;;;
RIES Michel;ARK;65;;;;;;;;;;;;;;;;;;;;;;;
RODRIGUEZ MARTIN Cristian;ARK;453;;;;;;;;;;;;;;;;;;;;;;;
ROULAND Louis;ARK;52;;;;;;;;;;;;;;;;;;;;;;;
SCOTSON Miles;ARK;35;;;;;;;;;;;;;;;;;;;;;;;
SENECHAL Florian;ARK;33;;;;;;;;;;;;;;;;;;;;;;;
SVESTAD-BAARDSENG Embret;ARK;185;;;;;;;;;;;;;;;;;;;;;;;
THIERRY Pierre;ARK;65;;;;;;;;;;;;;;;;;;;;;;;
TJØTTA Martin;ARK;48;;;;;;;;;;;;;;;;;;;;;;;
VENTURINI Clément;ARK;397;;;;;;;;;;;;;;;;;;;;;;;
VERRE Alessandro;ARK;155;;;;;;;;;;;;;;;;;;;;;;;
LARSEN Niklas;BPC;245;;;;;;;;;;;;;;;;;;;;;;;
ALLEGAERT Piet;COF;181;;;;;;;;;;;;;;;;;;;;;;;
ANIOLKOWSKI Stanislaw;COF;327;;;;;;;;;;;;;;;;;;;;;;;
COQUARD Bryan;COF;478;;;;;;;;;;;;;;;;;;;;;;;
DE GENDT Aime;COF;193;;;;;;;;;;;;;;;;;;;;;;;
DEBEAUMARCHE Nicolas;COF;15;;;;;;;;;;;;;;;;;;;;;;;
FERRON Valentin;COF;114;;;;;;;;;;;;;;;;;;;;;;;
FINE Eddy;COF;0;;;;;;;;;;;;;;;;;;;;;;;
FRETIN Milan;COF;795;;;;;;;;;;;;;;;;;;;;;;;
HERRADA LOPEZ Jesus;COF;253;;;;;;;;;;;;;;;;;;;;;;;
IZQUIERDO Clement;COF;86;;;;;;;;;;;;;;;;;;;;;;;
KNIGHT Oliver;COF;34;;;;;;;;;;;;;;;;;;;;;;;
LASTRA MARTINEZ Jonathan;COF;53;;;;;;;;;;;;;;;;;;;;;;;
MAAS Jan;COF;89;;;;;;;;;;;;;;;;;;;;;;;
MAHOUDO Nolann;COF;35;;;;;;;;;;;;;;;;;;;;;;;
MAISONOBE Sam;COF;106;;;;;;;;;;;;;;;;;;;;;;;
MONIQUET Sylvain;COF;217;;;;;;;;;;;;;;;;;;;;;;;
OLDANI Stefano;COF;291;;;;;;;;;;;;;;;;;;;;;;;
OURSELIN Paul;COF;91;;;;;;;;;;;;;;;;;;;;;;;
PEREZ Anthony;COF;72;;;;;;;;;;;;;;;;;;;;;;;
RENARD Alexis;COF;412;;;;;;;;;;;;;;;;;;;;;;;
ROBEET Ludovic;COF;45;;;;;;;;;;;;;;;;;;;;;;;
SAMITIER SAMITIER Sergio;COF;97;;;;;;;;;;;;;;;;;;;;;;;
TEUNS Dylan;COF;246;;;;;;;;;;;;;;;;;;;;;;;
TOUMIRE Hugo;COF;5;;;;;;;;;;;;;;;;;;;;;;;
TOUZE Damien;COF;127;;;;;;;;;;;;;;;;;;;;;;;
ARMIRAIL Bruno;DAT;344;;;;;;;;;;;;;;;;;;;;;;;
BENNETT Sam;DAT;242;;;;;;;;;;;;;;;;;;;;;;;
BERTHET Clément;DAT;449;;;;;;;;;;;;;;;;;;;;;;;
BISIAUX Léo;DAT;80;;;;;;;;;;;;;;;;;;;;;;;
BISSEGGER Stefan;DAT;428;;;;;;;;;;;;;;;;;;;;;;;
BOUCHARD Geoffrey;DAT;40;;;;;;;;;;;;;;;;;;;;;;;
CHAMBERLAIN Oscar;DAT;20;;;;;;;;;;;;;;;;;;;;;;;
COSNEFROY Benoit;DAT;325;;;;;;;;;;;;;;;;;;;;;;;
DE BONDT Dries;DAT;241;;;;;;;;;;;;;;;;;;;;;;;
DE PESTEL Sander;DAT;116;;;;;;;;;;;;;;;;;;;;;;;
DEWULF Stan;DAT;292;;;;;;;;;;;;;;;;;;;;;;;
GAUTHERAT Pierre;DAT;269;;;;;;;;;;;;;;;;;;;;;;;
GODON Dorian;DAT;385;;;;;;;;;;;;;;;;;;;;;;;
GUDMESTAD Tord;DAT;43;;;;;;;;;;;;;;;;;;;;;;;
ISIDORE Noa;DAT;98;;;;;;;;;;;;;;;;;;;;;;;
LABROSSE Jordan;DAT;92;;;;;;;;;;;;;;;;;;;;;;;
LAFAY Victor;DAT;227;;;;;;;;;;;;;;;;;;;;;;;
LAPEIRA Paul;DAT;442;;;;;;;;;;;;;;;;;;;;;;;
NAESEN Oliver;DAT;208;;;;;;;;;;;;;;;;;;;;;;;
PARET PEINTRE Aurélien;DAT;393;;;;;;;;;;;;;;;;;;;;;;;
PEDERSEN Rasmus Søjberg;DAT;282;;;;;;;;;;;;;;;;;;;;;;;
PETERS Nans;DAT;101;;;;;;;;;;;;;;;;;;;;;;;
POLLEFLIET Gianluca;DAT;58;;;;;;;;;;;;;;;;;;;;;;;
PRODHOMME Nicolas;DAT;513;;;;;;;;;;;;;;;;;;;;;;;
SCOTSON Callum;DAT;112;;;;;;;;;;;;;;;;;;;;;;;
SEIXAS Paul;DAT;244;;;;;;;;;;;;;;;;;;;;;;;
STAUNE-MITTET Johannes;DAT;186;;;;;;;;;;;;;;;;;;;;;;;
TRONCHON Bastien;DAT;401;;;;;;;;;;;;;;;;;;;;;;;
VENDRAME Andrea;DAT;225;;;;;;;;;;;;;;;;;;;;;;;
ALBANESE Vincenzo;EFE;474;;;;;;;;;;;;;;;;;;;;;;;
ASGREEN Kasper;EFE;351;;;;;;;;;;;;;;;;;;;;;;;
BATTISTELLA Samuele;EFE;73;;;;;;;;;;;;;;;;;;;;;;;
BAUDIN Alex;EFE;501;;;;;;;;;;;;;;;;;;;;;;;
BELOKI FERNANDEZ Markel;EFE;65;;;;;;;;;;;;;;;;;;;;;;;
CARTHY Hugh;EFE;42;;;;;;;;;;;;;;;;;;;;;;;
CEPEDA ORTIZ Jefferson Alexander;EFE;308;;;;;;;;;;;;;;;;;;;;;;;
CHAVES RUBIO Jhoan Esteban;EFE;147;;;;;;;;;;;;;;;;;;;;;;;
COSTA Rui Alberto Faria;EFE;203;;;;;;;;;;;;;;;;;;;;;;;
DOULL Owain;EFE;113;;;;;;;;;;;;;;;;;;;;;;;
HONORE Mikkel Frølich;EFE;252;;;;;;;;;;;;;;;;;;;;;;;
MACKELLAR Alastair;EFE;32;;;;;;;;;;;;;;;;;;;;;;;
MIHKELS Madis;EFE;334;;;;;;;;;;;;;;;;;;;;;;;
NERURKAR Lukas;EFE;204;;;;;;;;;;;;;;;;;;;;;;;
QUINN Sean;EFE;43;;;;;;;;;;;;;;;;;;;;;;;
RAFFERTY Darren;EFE;140;;;;;;;;;;;;;;;;;;;;;;;
ROOTKIN-GRAY Jack;EFE;25;;;;;;;;;;;;;;;;;;;;;;;
RYAN Archie;EFE;284;;;;;;;;;;;;;;;;;;;;;;;
SHAW James;EFE;121;;;;;;;;;;;;;;;;;;;;;;;
SIMMONS Colby;EFE;77;;;;;;;;;;;;;;;;;;;;;;;
STEINHAUSER Georg;EFE;177;;;;;;;;;;;;;;;;;;;;;;;
TODOME Yuhi;EFE;10;;;;;;;;;;;;;;;;;;;;;;;
VALGREN HUNDAHL Michael;EFE;160;;;;;;;;;;;;;;;;;;;;;;;
VAN DEN BERG Marijn;EFE;458;;;;;;;;;;;;;;;;;;;;;;;
VAN DER LEE Jardi;EFE;24;;;;;;;;;;;;;;;;;;;;;;;
WALKER Max;EFE;223;;;;;;;;;;;;;;;;;;;;;;;
ASKEY Lewis;GFC;590;;;;;;;;;;;;;;;;;;;;;;;
BARTHE Cyril;GFC;71;;;;;;;;;;;;;;;;;;;;;;;
BRAZ AFONSO Clément;GFC;172;;;;;;;;;;;;;;;;;;;;;;;
BYSTRØM Sven Erik;GFC;65;;;;;;;;;;;;;;;;;;;;;;;
CAVAGNA Rémi;GFC;108;;;;;;;;;;;;;;;;;;;;;;;
DAVY Clément;GFC;40;;;;;;;;;;;;;;;;;;;;;;;
DONNENWIRTH Tom;GFC;226;;;;;;;;;;;;;;;;;;;;;;;
GAUDU David;GFC;661;;;;;;;;;;;;;;;;;;;;;;;
GENIETS Kévin;GFC;222;;;;;;;;;;;;;;;;;;;;;;;
GERMANI Lorenzo;GFC;75;;;;;;;;;;;;;;;;;;;;;;;
GRUEL Thibaud;GFC;455;;;;;;;;;;;;;;;;;;;;;;;
JACOBS Johan;GFC;95;;;;;;;;;;;;;;;;;;;;;;;
KÜNG Stefan;GFC;824;;;;;;;;;;;;;;;;;;;;;;;
LE GAC Olivier;GFC;38;;;;;;;;;;;;;;;;;;;;;;;
LE HUITOUZE Eddy;GFC;101;;;;;;;;;;;;;;;;;;;;;;;
MOLARD Rudy;GFC;297;;;;;;;;;;;;;;;;;;;;;;;
PALENI Enzo;GFC;96;;;;;;;;;;;;;;;;;;;;;;;
PENHOËT Paul;GFC;287;;;;;;;;;;;;;;;;;;;;;;;
ROCHAS Rémy;GFC;215;;;;;;;;;;;;;;;;;;;;;;;
ROLLAND Brieuc;GFC;120;;;;;;;;;;;;;;;;;;;;;;;
RUSSO Clément;GFC;172;;;;;;;;;;;;;;;;;;;;;;;
WALLS Matthew;GFC;85;;;;;;;;;;;;;;;;;;;;;;;
AUGUST Andrew;IGD;78;;;;;;;;;;;;;;;;;;;;;;;
BERNAL GOMEZ Egan Arley;IGD;464;;;;;;;;;;;;;;;;;;;;;;;
CASTROVIEJO NICOLAS Jonathan;IGD;55;;;;;;;;;;;;;;;;;;;;;;;
FRAILE MATARRANZ Omar;IGD;15;;;;;;;;;;;;;;;;;;;;;;;
HAMILTON Lucas;IGD;58;;;;;;;;;;;;;;;;;;;;;;;
HEIDUK Kim;IGD;103;;;;;;;;;;;;;;;;;;;;;;;
JUNGELS Bob;IGD;101;;;;;;;;;;;;;;;;;;;;;;;
LANGELLOTTI Victor;IGD;194;;;;;;;;;;;;;;;;;;;;;;;
LAURANCE Axel;IGD;326;;;;;;;;;;;;;;;;;;;;;;;
LEONARD Michael Shea;IGD;69;;;;;;;;;;;;;;;;;;;;;;;
PUCCIO Salvatore;IGD;15;;;;;;;;;;;;;;;;;;;;;;;
RIVERA VARGAS Brandon Smith;IGD;264;;;;;;;;;;;;;;;;;;;;;;;
RODRIGUEZ GARAICOECHEA Oscar;IGD;136;;;;;;;;;;;;;;;;;;;;;;;
SHEFFIELD Magnus;IGD;863;;;;;;;;;;;;;;;;;;;;;;;
SHMIDT Artem;IGD;107;;;;;;;;;;;;;;;;;;;;;;;
SWIFT Ben;IGD;151;;;;;;;;;;;;;;;;;;;;;;;
SWIFT Connor;IGD;178;;;;;;;;;;;;;;;;;;;;;;;
TARLING Joshua;IGD;538;;;;;;;;;;;;;;;;;;;;;;;
TURNER Ben;IGD;235;;;;;;;;;;;;;;;;;;;;;;;
WATSON Samuel;IGD;510;;;;;;;;;;;;;;;;;;;;;;;
BENNETT George;IPT;279;;;;;;;;;;;;;;;;;;;;;;;
CLARKE Simon;IPT;117;;;;;;;;;;;;;;;;;;;;;;;
COTE Pier-André;IPT;300;;;;;;;;;;;;;;;;;;;;;;;
EINHORN Itamar;IPT;123;;;;;;;;;;;;;;;;;;;;;;;
FRIGO Marco;IPT;274;;;;;;;;;;;;;;;;;;;;;;;
FROOME Chris;IPT;10;;;;;;;;;;;;;;;;;;;;;;;
FUGLSANG Jakob;IPT;143;;;;;;;;;;;;;;;;;;;;;;;
GEE Derek;IPT;999;;;;;;;;;;;;;;;;;;;;;;;
HIRT Jan;IPT;30;;;;;;;;;;;;;;;;;;;;;;;
HOFSTETTER Hugo;IPT;472;;;;;;;;;;;;;;;;;;;;;;;
HOULE Hugo;IPT;107;;;;;;;;;;;;;;;;;;;;;;;
KOGUT Oded;IPT;147;;;;;;;;;;;;;;;;;;;;;;;
PICKRELL Riley;IPT;102;;;;;;;;;;;;;;;;;;;;;;;
RAISBERG Nadav;IPT;65;;;;;;;;;;;;;;;;;;;;;;;
RICCITELLO Matthew;IPT;226;;;;;;;;;;;;;;;;;;;;;;;
SCHULTZ Nicholas;IPT;81;;;;;;;;;;;;;;;;;;;;;;;
